"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2000-03-07 12:08:07,354091","202.77.162.213","172.16.115.20","Portmap","98","V2 GETPORT Call (Reply In 2) SADMIND(100232) V:10 UDP"
"2","2000-03-07 12:08:07,355495","172.16.115.20","202.77.162.213","Portmap","70","V2 GETPORT Reply (Call In 1) Port:32773"
"3","2000-03-07 12:08:07,359636","202.77.162.213","172.16.115.20","SADMIND","114","V10 proc-0 Call (Reply In 4)"
"4","2000-03-07 12:08:07,480982","172.16.115.20","202.77.162.213","SADMIND","66","V10 proc-0 Reply (Call In 3)"
"5","2000-03-07 12:08:07,495446","202.77.162.213","172.16.115.87","Portmap","98","V2 GETPORT Call SADMIND(100232) V:10 UDP"
"6","2000-03-07 12:08:07,495714","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"7","2000-03-07 12:08:12,500631","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #5]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"8","2000-03-07 12:08:12,500895","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"9","2000-03-07 12:08:17,510789","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #5]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"10","2000-03-07 12:08:17,511004","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"11","2000-03-07 12:08:22,520758","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #5]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"12","2000-03-07 12:08:22,521023","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"13","2000-03-07 12:08:27,530805","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #5]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"14","2000-03-07 12:08:27,531023","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"15","2000-03-07 12:08:32,540866","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #5]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"16","2000-03-07 12:08:32,541135","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"17","2000-03-07 12:08:37,550920","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #5]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"18","2000-03-07 12:08:37,551855","172.16.115.87","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"19","2000-03-07 12:08:42,560997","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #5]V2 GETPORT Call SADMIND(100232) V:10 UDP"
"20","2000-03-07 12:08:42,561259","172.16.112.194","202.77.162.213","ICMP","126","Destination unreachable (Port unreachable)"
"21","2000-03-07 12:08:47,571289","202.77.162.213","172.16.115.87","Portmap","98","[RPC retransmission of #5]V2 GETPORT Call SADMIND(100232) V:10 UDP"
