"No.","Time","Source","Destination","Protocol","Length","Info"
"1","2014-08-08 13:05:30,175003","10.5.1.107","50.19.128.88","TLSv1.2","167","Application Data"
"2","2014-08-08 13:05:30,269999","50.19.128.88","10.5.1.107","TLSv1.2","167","Application Data"
"3","2014-08-08 13:05:30,270248","10.5.1.107","50.19.128.88","TCP","66","33110  >  443 [ACK] Seq=102 Ack=102 Win=331 Len=0 TSval=541949 TSecr=1889513892"
"4","2014-08-08 13:05:30,586801","10.5.1.108","50.19.128.88","TLSv1.2","167","Application Data"
"5","2014-08-08 13:05:30,682578","50.19.128.88","10.5.1.108","TLSv1.2","167","Application Data"
"6","2014-08-08 13:05:30,682931","10.5.1.108","50.19.128.88","TCP","66","49312  >  443 [ACK] Seq=102 Ack=102 Win=8185 Len=0 TSval=470242718 TSecr=1889513995"
"7","2014-08-08 13:05:31,248910","Cisco_45:7e:30","PVST+","STP","64","RST. Root = 32768/501/70:ca:9b:45:7e:00  Cost = 0  Port = 0x8030"
"8","2014-08-08 13:05:31,260739","10.5.1.110","50.19.128.88","TLSv1.2","167","Application Data"
"9","2014-08-08 13:05:31,359479","50.19.128.88","10.5.1.110","TLSv1.2","167","Application Data"
"10","2014-08-08 13:05:31,359729","10.5.1.110","50.19.128.88","TCP","66","42063  >  443 [ACK] Seq=102 Ack=102 Win=331 Len=0 TSval=769831 TSecr=1889514164"
"11","2014-08-08 13:05:31,628647","10.5.1.103","50.19.128.88","TLSv1.2","167","Application Data"
"12","2014-08-08 13:05:31,720674","50.19.128.88","10.5.1.103","TLSv1.2","167","Application Data"
"13","2014-08-08 13:05:31,721322","10.5.1.103","50.19.128.88","TCP","66","55792  >  443 [ACK] Seq=102 Ack=102 Win=8185 Len=0 TSval=1002855040 TSecr=1889514255"
"14","2014-08-08 13:05:31,765857","10.5.1.108","224.0.0.251","MDNS","82","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"15","2014-08-08 13:05:31,765870","fe80::426c:8fff:fe37:7edb","ff02::fb","MDNS","102","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question"
"16","2014-08-08 13:05:31,818972","10.5.1.2","50.19.128.88","TLSv1.2","199","Application Data"
"17","2014-08-08 13:05:31,910323","50.19.128.88","10.5.1.2","TLSv1.2","199","Application Data"
"18","2014-08-08 13:05:31,910773","10.5.1.2","50.19.128.88","TCP","66","59338  >  443 [ACK] Seq=134 Ack=134 Win=331 Len=0 TSval=1435663 TSecr=1889514302"
"19","2014-08-08 13:05:32,274250","10.5.1.107","54.243.152.200","TCP","66","36872  >  443 [ACK] Seq=1 Ack=1 Win=228 Len=0 TSval=542450 TSecr=912404652"
"20","2014-08-08 13:05:32,364683","54.243.152.200","10.5.1.107","TCP","66","[TCP ACKed unseen segment] 443  >  36872 [ACK] Seq=1 Ack=2 Win=68 Len=0 TSval=912407174 TSecr=539960"
"21","2014-08-08 13:05:32,399367","10.5.11.2","10.5.1.2","TCP","66","50376  >  4444 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"22","2014-08-08 13:05:32,399817","10.5.1.2","10.5.11.2","TCP","66","4444  >  50376 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM WS=128"
"23","2014-08-08 13:05:32,400600","10.5.11.2","10.5.1.2","TCP","60","50376  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"24","2014-08-08 13:05:32,400866","10.5.11.2","10.5.1.2","HTTP","98","GET /../../../../home/wdub/flag HTTP/1.0 "
"25","2014-08-08 13:05:32,401266","10.5.1.2","10.5.11.2","TCP","60","4444  >  50376 [ACK] Seq=1 Ack=45 Win=14720 Len=0"
"26","2014-08-08 13:05:32,403212","10.5.1.2","10.5.11.2","HTTP","290","HTTP/1.1 200 OK  (unk/unk)Continuation"
"27","2014-08-08 13:05:32,404055","10.5.11.2","10.5.1.2","TCP","60","50376  >  4444 [FIN, ACK] Seq=45 Ack=237 Win=65280 Len=0"
"28","2014-08-08 13:05:32,441498","10.5.1.2","10.5.11.2","TCP","60","4444  >  50376 [ACK] Seq=237 Ack=46 Win=14720 Len=0"
"29","2014-08-08 13:05:33,175475","10.5.1.107","50.19.128.88","TLSv1.2","167","Application Data"
"30","2014-08-08 13:05:33,273500","50.19.128.88","10.5.1.107","TLSv1.2","167","Application Data"
"31","2014-08-08 13:05:33,273697","10.5.1.107","50.19.128.88","TCP","66","33110  >  443 [ACK] Seq=203 Ack=203 Win=331 Len=0 TSval=542699 TSecr=1889514642"
"32","2014-08-08 13:05:33,275194","Cisco_45:7e:30","PVST+","STP","64","RST. Root = 32768/501/70:ca:9b:45:7e:00  Cost = 0  Port = 0x8030"
"33","2014-08-08 13:05:33,586628","10.5.1.108","50.19.128.88","TLSv1.2","167","Application Data"
"34","2014-08-08 13:05:33,638853","74.125.224.168","10.5.1.103","TLSv1.2","131","Application Data"
"35","2014-08-08 13:05:33,639052","74.125.224.168","10.5.1.103","TLSv1.2","111","Application Data"
"36","2014-08-08 13:05:33,639059","74.125.224.168","10.5.1.103","TCP","66","443  >  55657 [FIN, ACK] Seq=111 Ack=1 Win=670 Len=0 TSval=1963406439 TSecr=1002617610"
"37","2014-08-08 13:05:33,639353","10.5.1.103","74.125.224.168","TCP","66","55657  >  443 [ACK] Seq=1 Ack=66 Win=8187 Len=0 TSval=1002856954 TSecr=1963406439"
"38","2014-08-08 13:05:33,639405","10.5.1.103","74.125.224.168","TCP","66","55657  >  443 [ACK] Seq=1 Ack=111 Win=8185 Len=0 TSval=1002856954 TSecr=1963406439"
"39","2014-08-08 13:05:33,639452","10.5.1.103","74.125.224.168","TCP","66","55657  >  443 [ACK] Seq=1 Ack=112 Win=8192 Len=0 TSval=1002856954 TSecr=1963406439"
"40","2014-08-08 13:05:33,639808","10.5.1.103","74.125.224.168","TCP","66","55657  >  443 [FIN, ACK] Seq=1 Ack=112 Win=8192 Len=0 TSval=1002856954 TSecr=1963406439"
"41","2014-08-08 13:05:33,651433","74.125.224.168","10.5.1.103","TCP","66","443  >  55657 [ACK] Seq=112 Ack=2 Win=670 Len=0 TSval=1963406451 TSecr=1002856954"
"42","2014-08-08 13:05:33,690071","50.19.128.88","10.5.1.108","TLSv1.2","167","Application Data"
"43","2014-08-08 13:05:33,690570","10.5.1.108","50.19.128.88","TCP","66","49312  >  443 [ACK] Seq=203 Ack=203 Win=8185 Len=0 TSval=470245656 TSecr=1889514747"
"44","2014-08-08 13:05:34,260923","10.5.1.110","50.19.128.88","TLSv1.2","167","Application Data"
"45","2014-08-08 13:05:34,354732","50.19.128.88","10.5.1.110","TLSv1.2","167","Application Data"
"46","2014-08-08 13:05:34,354933","10.5.1.110","50.19.128.88","TCP","66","42063  >  443 [ACK] Seq=203 Ack=203 Win=331 Len=0 TSval=770580 TSecr=1889514914"
"47","2014-08-08 13:05:34,628707","10.5.1.103","50.19.128.88","TLSv1.2","167","Application Data"
"48","2014-08-08 13:05:34,719966","50.19.128.88","10.5.1.103","TLSv1.2","167","Application Data"
"49","2014-08-08 13:05:34,720640","10.5.1.103","50.19.128.88","TCP","66","55792  >  443 [ACK] Seq=203 Ack=203 Win=8185 Len=0 TSval=1002858033 TSecr=1889515005"
"50","2014-08-08 13:05:34,820296","10.5.1.2","50.19.128.88","TLSv1.2","199","Application Data"
"51","2014-08-08 13:05:34,912377","50.19.128.88","10.5.1.2","TLSv1.2","199","Application Data"
"52","2014-08-08 13:05:34,912826","10.5.1.2","50.19.128.88","TCP","66","59338  >  443 [ACK] Seq=267 Ack=267 Win=331 Len=0 TSval=1436264 TSecr=1889515053"
"53","2014-08-08 13:05:35,292429","Cisco_45:7e:30","PVST+","STP","64","RST. Root = 32768/501/70:ca:9b:45:7e:00  Cost = 0  Port = 0x8030"
"54","2014-08-08 13:05:35,542903","fe80::f2de:f1ff:fe6c:7c3e","ff02::2","ICMPv6","62","Router Solicitation"
"55","2014-08-08 13:05:35,961490","10.5.1.102","205.185.220.131","UDP","60","59591  >  27019 Len=4"
"56","2014-08-08 13:05:36,175432","10.5.1.107","50.19.128.88","TLSv1.2","167","Application Data"
"57","2014-08-08 13:05:36,273117","50.19.128.88","10.5.1.107","TLSv1.2","167","Application Data"
"58","2014-08-08 13:05:36,273419","10.5.1.107","50.19.128.88","TCP","66","33110  >  443 [ACK] Seq=304 Ack=304 Win=331 Len=0 TSval=543449 TSecr=1889515392"
"59","2014-08-08 13:05:36,469798","10.5.17.2","10.5.1.2","TCP","66","50397  >  4444 [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM"
"60","2014-08-08 13:05:36,470248","10.5.1.2","10.5.17.2","TCP","66","4444  >  50397 [SYN, ACK] Seq=0 Ack=1 Win=14600 Len=0 MSS=1460 SACK_PERM WS=128"
"61","2014-08-08 13:05:36,471046","10.5.17.2","10.5.1.2","TCP","60","50397  >  4444 [ACK] Seq=1 Ack=1 Win=65536 Len=0"
"62","2014-08-08 13:05:36,471295","10.5.17.2","10.5.1.2","HTTP","98","GET /../../../../home/wdub/flag HTTP/1.0 "
"63","2014-08-08 13:05:36,471713","10.5.1.2","10.5.17.2","TCP","60","4444  >  50397 [ACK] Seq=1 Ack=45 Win=14720 Len=0"
"64","2014-08-08 13:05:36,473408","10.5.1.2","10.5.17.2","HTTP","290","HTTP/1.1 200 OK  (unk/unk)Continuation"
"65","2014-08-08 13:05:36,474241","10.5.17.2","10.5.1.2","TCP","60","50397  >  4444 [FIN, ACK] Seq=45 Ack=237 Win=65280 Len=0"
"66","2014-08-08 13:05:36,511480","10.5.1.2","10.5.17.2","TCP","60","4444  >  50397 [ACK] Seq=237 Ack=46 Win=14720 Len=0"
"67","2014-08-08 13:05:36,519386","10.5.1.102","205.185.220.131","TCP","66","51992  >  27019 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=4 SACK_PERM"
