timestamp;SID;Etapa;Subetapa;Remoto;Local;Alerta
"""08/08-17:00:31.494023 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:31.708518 ";1917;1;0;10.5.1.106;239.255.255.250;alert udp $EXTERNAL_NET any -> $HOME_NET 1900 (msg:'INDICATOR-SCAN UPnP service discover attempt', flow:to_server, content:'M-SEARCH ', depth:9, content:'ssdp|3A|discover', fast_pattern:only, metadata:policy max-detect-ips drop, ruleset community, reference:url,attack.mitre.org/techniques/T1018, reference:url,attack.mitre.org/techniques/T1040, reference:url,attack.mitre.org/techniques/T1046, classtype:network-scan, sid:1917, rev:16,)
"""08/08-17:00:31.844318 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:32.265271 ";2570;2;0;10.5.1.104;91.189.91.13;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:33.241912 ";2570;2;0;10.5.1.104;91.189.91.13;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:33.314857 ";2570;2;0;10.5.1.104;91.189.91.13;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:33.951166 ";2570;2;0;10.5.1.104;91.189.91.13;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:34.161180 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:35.842448 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:35.842723 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
