Remoto;Etapa 1;Etapa 2;Etapa 3;Etapa 4
91.189.91.13;0;0;49;0
10.5.1.106;43;0;0;0
10.5.1.104;0;12;0;0
10.5.1.108;5;0;0;0
69.16.175.10;0;0;1;0
10.5.1.110;0;40;150;273
10.5.1.2;30;0;0;0
10.5.17.2;0;0;8;3
10.5.14.2;0;0;6;3
10.5.20.2;0;0;9;1
10.5.3.2;0;0;5;1
10.5.15.2;0;0;8;5
10.5.1.102;12;0;72;0
10.5.4.2;0;0;10;6
10.5.2.2;0;1;7;1
10.5.10.2;0;0;6;1
10.5.16.2;0;0;12;5
10.5.6.2;0;0;10;8
10.5.7.2;0;0;6;1
10.5.18.2;0;1;5;2
10.5.8.2;0;0;5;1
10.5.13.2;0;0;9;3
10.5.11.2;0;0;3;0
10.5.12.2;0;1;7;3
10.5.19.2;0;0;7;3
10.5.1.1;0;1;0;0
10.5.5.2;0;0;5;2
10.5.9.2;0;0;6;5
